Team,Tier,Win Rate,Pick Rate,Matches,Rank,Season
"Cloak & Dagger, Moon Knight",A,42.62%,47.79%,"4,688",Platinum,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",D,42.46%,1.82%,179,Platinum,season0
"Black Widow, Hawkeye",D,39.74%,0.80%,78,Platinum,season0
"Adam Warlock, Star Lord, Mantis",S,62.56%,11.11%,"1,624",Diamond,season0
"Psylocke, Magik, Black Panther",A,61.95%,0.77%,113,Diamond,season0
"Hela, Loki, Thor",A,58.62%,6.94%,"1,015",Diamond,season0
"Doctor Strange, Hulk, Iron Man",S,58.19%,23.39%,"3,420",Diamond,season0
"Venom, Peni Parker, Spider Man",B,55.36%,1.98%,289,Diamond,season0
"Iron Fist, Luna Snow",B,52.99%,7.55%,"1,104",Diamond,season0
"Wolverine, Hulk",C,50.38%,4.55%,665,Diamond,season0
"Winter Soldier, Rocket Raccoon, The Punisher",B,50.15%,11.74%,"1,717",Diamond,season0
"Mister Fantastic, Invisible Woman",B,49.73%,13.40%,"1,697",Diamond,season0
"Luna Snow, Jeff The Land Shark, Namor",C,49.38%,4.93%,721,Diamond,season0
"Captain America, Thor, Storm",D,49.02%,0.35%,51,Diamond,season0
"Magneto, Scarlet Witch",C,48.18%,9.03%,"1,320",Diamond,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",D,46.88%,1.53%,224,Diamond,season0
"Squirrel Girl, Spider Man",D,46.31%,1.39%,203,Diamond,season0
"Cloak & Dagger, Moon Knight",B,40.74%,39.44%,"5,766",Diamond,season0
"Black Widow, Hawkeye",D,40.00%,0.27%,40,Diamond,season0
"Adam Warlock, Star Lord, Mantis",S,63.64%,27.07%,"1,884",Grandmaster,season0
"Groot, Jeff The Land Shark, Rocket Raccoon",A,63.64%,0.79%,55,Grandmaster,season0
"Hela, Loki, Thor",A,59.48%,6.06%,422,Grandmaster,season0
"Psylocke, Magik, Black Panther",A,58.42%,1.45%,101,Grandmaster,season0
"Captain America, Thor, Storm",A,57.89%,0.27%,19,Grandmaster,season0
"Doctor Strange, Hulk, Iron Man",A,55.00%,22.55%,"1,569",Grandmaster,season0
"Iron Fist, Luna Snow",B,54.24%,8.64%,601,Grandmaster,season0
"Wolverine, Hulk",B,53.87%,4.08%,284,Grandmaster,season0
"Luna Snow, Jeff The Land Shark, Namor",B,52.32%,4.64%,323,Grandmaster,season0
"Magneto, Scarlet Witch",B,51.43%,5.53%,385,Grandmaster,season0
"Mister Fantastic, Invisible Woman",B,50.58%,11.94%,694,Grandmaster,season0
"Squirrel Girl, Spider Man",C,50.00%,0.92%,64,Grandmaster,season0
"Venom, Peni Parker, Spider Man",D,48.65%,0.53%,37,Grandmaster,season0
"Winter Soldier, Rocket Raccoon, The Punisher",C,46.31%,10.89%,758,Grandmaster,season0
"Cloak & Dagger, Moon Knight",D,35.03%,18.95%,"1,319",Grandmaster,season0
