Hero,Tier,Win Rate,WR Change,Pick Rate,PR Change,Ban Rate,Matches,Rank,Season
Squirrel Girl,C,46.12%,N/A,11.02%,N/A,0.00%,"23,870",Bronze,season0
Hawkeye,C,46.03%,N/A,15.32%,N/A,0.00%,"33,198",Bronze,season0
Winter Soldier,B,45.63%,N/A,19.38%,N/A,0.00%,"41,980",Bronze,season0
The Punisher,C,45.45%,N/A,18.75%,N/A,0.00%,"40,620",Bronze,season0
Moon Knight,B,45.36%,N/A,22.00%,N/A,0.00%,"47,664",Bronze,season0
Jeff The Land Shark,C,42.26%,N/A,22.35%,N/A,0.00%,"48,416",Bronze,season0
Black Widow,D,41.22%,N/A,5.93%,N/A,0.00%,"12,837",Bronze,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Bronze,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Bronze,season0
Black Panther,A,56.77%,N/A,7.10%,N/A,0.00%,"2,764",Silver,season0
Magik,A,56.37%,N/A,9.92%,N/A,0.00%,"3,862",Silver,season0
Mantis,S,54.80%,N/A,41.23%,N/A,0.00%,"16,050",Silver,season0
Hela,A,54.32%,N/A,25.04%,N/A,0.00%,"9,747",Silver,season0
Adam Warlock,A,54.14%,N/A,14.00%,N/A,0.00%,"5,451",Silver,season0
Peni Parker,S,54.06%,N/A,33.01%,N/A,0.00%,"12,848",Silver,season0
Storm,B,53.79%,N/A,1.76%,N/A,0.00%,686,Silver,season0
Loki,A,53.77%,N/A,15.72%,N/A,0.00%,"6,117",Silver,season0
Hulk,A,53.25%,N/A,17.14%,N/A,0.00%,"6,672",Silver,season0
Psylocke,A,53.18%,N/A,18.00%,N/A,0.00%,"7,008",Silver,season0
Rocket Raccoon,A,53.16%,N/A,18.98%,N/A,0.00%,"7,387",Silver,season0
Thor,A,52.81%,N/A,18.68%,N/A,0.00%,"7,270",Silver,season0
Iron Man,A,52.09%,N/A,17.77%,N/A,0.00%,"6,915",Silver,season0
Wolverine,B,51.83%,N/A,5.40%,N/A,0.00%,"2,103",Silver,season0
Hawkeye,B,51.78%,N/A,14.00%,N/A,0.00%,"5,450",Silver,season0
Namor,B,51.33%,N/A,14.25%,N/A,0.00%,"5,547",Silver,season0
Iron Fist,B,51.20%,N/A,6.73%,N/A,0.00%,"2,621",Silver,season0
Doctor Strange,A,50.88%,N/A,37.41%,N/A,0.00%,"14,563",Silver,season0
Spider Man,B,50.61%,N/A,9.69%,N/A,0.00%,"3,770",Silver,season0
Luna Snow,S,50.47%,N/A,40.44%,N/A,0.00%,"15,741",Silver,season0
Winter Soldier,B,50.44%,N/A,12.46%,N/A,0.00%,"4,851",Silver,season0
Captain America,B,50.17%,N/A,8.10%,N/A,0.00%,"3,151",Silver,season0
Star Lord,B,50.02%,N/A,14.76%,N/A,0.00%,"5,744",Silver,season0
Groot,B,49.61%,N/A,20.48%,N/A,0.00%,"7,970",Silver,season0
Magneto,B,48.88%,N/A,16.33%,N/A,0.00%,"6,356",Silver,season0
Cloak & Dagger,S,47.71%,N/A,50.97%,N/A,0.00%,"19,838",Silver,season0
The Punisher,B,47.69%,N/A,20.17%,N/A,0.00%,"7,852",Silver,season0
Venom,B,46.89%,N/A,20.17%,N/A,0.00%,"7,852",Silver,season0
Moon Knight,B,46.74%,N/A,25.80%,N/A,0.00%,"10,041",Silver,season0
Scarlet Witch,C,46.42%,N/A,15.03%,N/A,0.00%,"5,851",Silver,season0
Squirrel Girl,D,45.51%,N/A,7.98%,N/A,0.00%,"3,105",Silver,season0
Black Widow,D,44.33%,N/A,1.47%,N/A,0.00%,573,Silver,season0
Jeff The Land Shark,C,43.78%,N/A,20.00%,N/A,0.00%,"7,785",Silver,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Silver,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Silver,season0
Magik,A,55.26%,N/A,10.77%,N/A,0.00%,"4,850",Gold,season0
Hela,S,55.16%,N/A,27.01%,N/A,0.00%,"12,162",Gold,season0
Mantis,S,54.78%,N/A,40.43%,N/A,0.00%,"18,207",Gold,season0
Adam Warlock,A,54.53%,N/A,13.32%,N/A,0.00%,"5,997",Gold,season0
Loki,A,54.26%,N/A,16.78%,N/A,0.00%,"7,556",Gold,season0
Rocket Raccoon,A,54.18%,N/A,20.78%,N/A,0.00%,"9,357",Gold,season0
Peni Parker,S,54.02%,N/A,32.41%,N/A,0.00%,"14,594",Gold,season0
Black Panther,B,53.36%,N/A,9.22%,N/A,0.00%,"4,153",Gold,season0
Hulk,A,52.88%,N/A,17.67%,N/A,0.00%,"7,957",Gold,season0
Thor,A,52.26%,N/A,19.87%,N/A,0.00%,"8,946",Gold,season0
Iron Man,A,52.18%,N/A,15.97%,N/A,0.00%,"7,191",Gold,season0
Namor,A,51.88%,N/A,17.27%,N/A,0.00%,"7,776",Gold,season0
Psylocke,A,51.88%,N/A,19.64%,N/A,0.00%,"8,844",Gold,season0
Doctor Strange,S,51.81%,N/A,42.93%,N/A,0.00%,"19,331",Gold,season0
Hawkeye,B,50.87%,N/A,13.06%,N/A,0.00%,"5,882",Gold,season0
Wolverine,B,50.85%,N/A,6.52%,N/A,0.00%,"2,934",Gold,season0
Storm,C,50.64%,N/A,2.08%,N/A,0.00%,936,Gold,season0
Iron Fist,B,50.58%,N/A,5.38%,N/A,0.00%,"2,424",Gold,season0
Spider Man,B,50.37%,N/A,10.49%,N/A,0.00%,"4,723",Gold,season0
Luna Snow,S,49.81%,N/A,45.24%,N/A,0.00%,"20,374",Gold,season0
Captain America,C,49.75%,N/A,6.77%,N/A,0.00%,"3,047",Gold,season0
Star Lord,B,49.16%,N/A,13.41%,N/A,0.00%,"6,038",Gold,season0
The Punisher,B,49.10%,N/A,18.28%,N/A,0.00%,"8,234",Gold,season0
Winter Soldier,B,48.93%,N/A,13.12%,N/A,0.00%,"5,908",Gold,season0
Groot,B,48.44%,N/A,22.11%,N/A,0.00%,"9,955",Gold,season0
Magneto,B,48.41%,N/A,16.49%,N/A,0.00%,"7,426",Gold,season0
Venom,B,47.19%,N/A,17.68%,N/A,0.00%,"7,963",Gold,season0
Squirrel Girl,D,47.07%,N/A,6.26%,N/A,0.00%,"2,817",Gold,season0
Cloak & Dagger,S,46.94%,N/A,49.13%,N/A,0.00%,"22,126",Gold,season0
Moon Knight,B,46.93%,N/A,21.57%,N/A,0.00%,"9,715",Gold,season0
Scarlet Witch,C,46.39%,N/A,10.92%,N/A,0.00%,"4,917",Gold,season0
Black Widow,D,45.05%,N/A,1.14%,N/A,0.00%,515,Gold,season0
Jeff The Land Shark,D,43.82%,N/A,16.29%,N/A,0.00%,"7,336",Gold,season0
Mister Fantastic,,0.00%,N/A,0.00%,N/A,0.00%,0,Gold,season0
Invisible Woman,,0.00%,N/A,0.00%,N/A,0.00%,0,Gold,season0
Magik,A,56.02%,N/A,10.72%,N/A,0.00%,"8,916",Platinum,season0
